,ngram,age,words,lookup_index,child,length
279,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
280,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
281,AB,2.0,"('do', 'it')",225,Alex (Providence),2
282,AA,2.0,"('b', 'b')",226,Alex (Providence),2
283,AB,2.0,"('a', 'doggy')",227,Alex (Providence),2
284,AB,2.0,"(""what's"", 'that')",228,Alex (Providence),2
285,AB,2.0,"('this', 'one')",229,Alex (Providence),2
286,AB,2.0,"(""what's"", 'that')",230,Alex (Providence),2
287,AB,2.0,"(""what's"", 'that')",231,Alex (Providence),2
288,AB,2.0,"(""what's"", 'that')",232,Alex (Providence),2
289,AA,2.0,"('orange', 'orange')",233,Alex (Providence),2
290,AB,2.0,"(""what's"", 'this')",234,Alex (Providence),2
291,AB,2.0,"(""what's"", 'that')",235,Alex (Providence),2
292,AB,2.0,"(""what's"", 'that')",236,Alex (Providence),2
293,AB,2.0,"(""what's"", 'that')",237,Alex (Providence),2
294,AB,2.0,"(""what's"", 'that')",238,Alex (Providence),2
295,AB,2.0,"(""what's"", 'that')",239,Alex (Providence),2
296,AB,2.0,"(""what's"", 'that')",240,Alex (Providence),2
297,AB,2.0,"(""what's"", 'that')",241,Alex (Providence),2
298,AB,2.0,"(""what's"", 'that')",242,Alex (Providence),2
299,AB,2.0,"(""what's"", 'that')",243,Alex (Providence),2
300,AB,2.0,"(""what's"", 'that')",244,Alex (Providence),2
301,AB,2.0,"(""what's"", 'that')",245,Alex (Providence),2
302,AB,2.0,"(""what's"", 'that')",246,Alex (Providence),2
303,AB,2.0,"('wow', 'oh')",247,Alex (Providence),2
304,AB,2.0,"(""what's"", 'that')",248,Alex (Providence),2
305,AB,2.0,"('what', 'is')",249,Alex (Providence),2
306,AA,2.0,"('Elmo', 'Elmo')",250,Alex (Providence),2
307,AB,2.0,"(""it's"", 'green')",251,Alex (Providence),2
308,AB,2.0,"(""it's"", 'a')",252,Alex (Providence),2
309,AA,2.0,"('Mom', 'Mom')",253,Alex (Providence),2
310,AB,2.0,"(""what's"", 'that')",254,Alex (Providence),2
311,AB,2.0,"('what', 'that')",255,Alex (Providence),2
312,AB,2.0,"('what', 'that')",256,Alex (Providence),2
313,AB,2.0,"('what', 'that')",257,Alex (Providence),2
314,AB,2.0,"('what', 'that')",258,Alex (Providence),2
315,AB,2.0,"('what', 'that')",259,Alex (Providence),2
316,AB,2.0,"('oh', 'boy')",260,Alex (Providence),2
317,AB,2.0,"('what', 'that')",261,Alex (Providence),2
318,AB,2.0,"('a', 'boo')",262,Alex (Providence),2
319,AB,2.0,"('what', 'that')",263,Alex (Providence),2
320,AB,2.0,"('what', 'that')",264,Alex (Providence),2
321,AB,2.0,"('what', 'that')",265,Alex (Providence),2
322,AB,2.0,"('what', 'that')",266,Alex (Providence),2
323,AB,2.0,"('what', 'that')",267,Alex (Providence),2
324,AB,2.0,"('a', 'little')",268,Alex (Providence),2
325,AB,2.0,"('what', 'that')",269,Alex (Providence),2
326,AB,2.0,"('what', 'that')",270,Alex (Providence),2
327,AB,2.0,"('what', 'that')",271,Alex (Providence),2
328,AB,2.0,"('what', 'that')",272,Alex (Providence),2
329,AB,2.0,"('a', 'goose')",273,Alex (Providence),2
330,AA,2.0,"('Mom', 'Mom')",274,Alex (Providence),2
331,AB,2.0,"('e', 'a')",275,Alex (Providence),2
332,AA,2.0,"('Mommy', 'Mommy')",276,Alex (Providence),2
333,AB,2.0,"('this', 'Ernie')",277,Alex (Providence),2
334,AB,2.0,"('what', 'that')",278,Alex (Providence),2
335,AB,2.0,"('a', 'what')",279,Alex (Providence),2
336,AB,2.0,"('what', 'that')",280,Alex (Providence),2
337,AB,2.0,"('what', 'that')",281,Alex (Providence),2
338,AB,2.0,"('what', 'that')",282,Alex (Providence),2
339,AA,2.0,"('two', 'two')",283,Alex (Providence),2
340,AB,2.0,"('what', 'that')",284,Alex (Providence),2
341,AB,2.0,"('what', 'that')",285,Alex (Providence),2
342,AB,2.0,"('is', 'sticky')",286,Alex (Providence),2
343,AB,2.0,"('what', 'that')",287,Alex (Providence),2
344,AB,2.0,"(""he's"", 'carrying')",288,Alex (Providence),2
345,AB,2.0,"('what', 'that')",289,Alex (Providence),2
346,AB,2.0,"('what', 'that')",290,Alex (Providence),2
347,AB,2.0,"('what', 'that')",291,Alex (Providence),2
348,AB,2.0,"('what', 'that')",292,Alex (Providence),2
349,AB,2.0,"('what', 'that')",293,Alex (Providence),2
350,AB,2.0,"('what', 'that')",294,Alex (Providence),2
351,AB,2.0,"('what', 'that')",295,Alex (Providence),2
352,AB,2.0,"('what', 'that')",296,Alex (Providence),2
353,AB,2.0,"('what', 'that')",297,Alex (Providence),2
354,AB,2.0,"('what', 'that')",298,Alex (Providence),2
355,AB,2.0,"('what', 'that')",299,Alex (Providence),2
356,AB,2.0,"('what', 'that')",300,Alex (Providence),2
357,AB,2.0,"('what', 'that')",301,Alex (Providence),2
358,AB,2.0,"('what', 'that')",302,Alex (Providence),2
359,AB,2.0,"('what', 'that')",303,Alex (Providence),2
360,AB,2.0,"('what', 'that')",304,Alex (Providence),2
361,AB,2.0,"('what', 'this')",305,Alex (Providence),2
362,AB,2.0,"('I', 'want')",306,Alex (Providence),2
363,BC,2.0,"('want', 'this')",306,Alex (Providence),2
364,ABC,2.0,"('I', 'want', 'this')",306,Alex (Providence),3
365,AB,2.0,"('what', 'is')",307,Alex (Providence),2
366,BC,2.0,"('is', 'this')",307,Alex (Providence),2
367,ABC,2.0,"('what', 'is', 'this')",307,Alex (Providence),3
368,AA,2.0,"('b', 'b')",308,Alex (Providence),2
369,AA,2.0,"('b', 'b')",308,Alex (Providence),2
370,AAA,2.0,"('b', 'b', 'b')",308,Alex (Providence),3
371,AB,2.0,"('what', 'is')",309,Alex (Providence),2
372,BC,2.0,"('is', 'that')",309,Alex (Providence),2
373,ABC,2.0,"('what', 'is', 'that')",309,Alex (Providence),3
374,AA,2.0,"('pull', 'pull')",310,Alex (Providence),2
375,AA,2.0,"('pull', 'pull')",310,Alex (Providence),2
376,AAA,2.0,"('pull', 'pull', 'pull')",310,Alex (Providence),3
377,AB,2.0,"('what', 'is')",311,Alex (Providence),2
378,BC,2.0,"('is', 'this')",311,Alex (Providence),2
379,ABC,2.0,"('what', 'is', 'this')",311,Alex (Providence),3
380,AB,2.0,"('what', 'is')",312,Alex (Providence),2
381,BC,2.0,"('is', 'this')",312,Alex (Providence),2
382,ABC,2.0,"('what', 'is', 'this')",312,Alex (Providence),3
383,AB,2.0,"('what', 'is')",313,Alex (Providence),2
384,BC,2.0,"('is', 'that')",313,Alex (Providence),2
385,ABC,2.0,"('what', 'is', 'that')",313,Alex (Providence),3
386,AB,2.0,"('what', 'is')",314,Alex (Providence),2
387,BC,2.0,"('is', 'this')",314,Alex (Providence),2
388,ABC,2.0,"('what', 'is', 'this')",314,Alex (Providence),3
389,AB,2.0,"('what', 'is')",315,Alex (Providence),2
390,BC,2.0,"('is', 'that')",315,Alex (Providence),2
391,ABC,2.0,"('what', 'is', 'that')",315,Alex (Providence),3
392,AB,2.0,"('what', 'is')",316,Alex (Providence),2
