,ngram,age,lookup_index,child,length
203,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
204,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
205,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
206,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
207,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
208,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
209,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
210,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
211,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
212,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
213,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
214,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),4
215,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
216,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
217,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
218,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
219,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
220,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
221,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
222,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
223,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
224,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
225,"('NOUN', 'NOUN')",1.9,90,Alex (Providence),2
226,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
227,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
228,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
229,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
230,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
231,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
232,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
233,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
234,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
235,"('NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),3
236,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
237,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
238,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
239,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
240,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
241,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
242,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
243,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
244,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,90,Alex (Providence),4
245,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
246,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
247,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
248,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
249,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
250,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
251,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
252,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
253,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
254,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
255,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
256,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
257,"('NOUN', 'NOUN')",1.9,91,Alex (Providence),2
258,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
259,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
260,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
261,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
262,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
263,"('NOUN', 'NOUN', 'NOUN')",1.9,91,Alex (Providence),3
